time_s,s_time_corrected_s,No of GPS Satellites Available,Time Since Start of Day (seconds),Latitude (degrees),Longitude (degrees),Velocity (km/hr),Heading (degrees),Height (km),Vertical velocity (km/hr),Sample period (seconds),Steering Angle (degrees),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Yaw Rate (deg/sec),Indicated Vehicle Speed (km/hr),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Handbrake (0 or 1),Gear Requested (Number fof gear employed 1-5),Gear (Number fof gear employed 1-5),Engine Speed (rev/min),Coolant Temperature (degrees),Clutch Position (0 or 1),Brake Pressure (psi),Brake Position (0 or 1),Battery Voltage (volts),Air Temperature (degrees),Accelerator Pedal Position (0 or 1),S_GPS LATITUDE (degrees),S_GPS LONGITUDE (degrees),S_GPS ALTITUDE (m),S_GPS SPEED (Kmh),S_GPS ACCURACY (m),S_GPS ORIENTATION (Â°),S_GPS SATELLITES IN RANGE,S_TIME SINCE START (ms),S_DATE (YYYY-MO-DD HH-MI-SS_SSS),S_ACCELEROMETER X (m/s²),S_ACCELEROMETER Y (m/s²),S_ACCELEROMETER Z (m/s²),S_GRAVITY X (m/s²),S_GRAVITY Y (m/s²),S_GRAVITY Z (m/s²),S_GYROSCOPE Yaw (rad/s),S_GYROSCOPE Pitch (rad/s),S_GYROSCOPE Roll (rad/s),S_MAGNETIC FIELD X (Î¼T),S_MAGNETIC FIELD Y (Î¼T),S_MAGNETIC FIELD Z (Î¼T),S_ORIENTATION (Yaw) (Â°),S_ORIENTATION (Pitch) (Â°),S_ORIENTATION (Roll ) (Â°)
58062.4,58062.40017,9,58062.4,52.2018381,-2.2017669,15.062,91.176,78.43,-0.17,0.1,23.5,15.25,14.98,15.23,14.96,-2.100006,15.14,-0.02958012,0.009180069,0,2,3,1214,88,0,0.2999878,1,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938310,2020-01-08 16:07:41:904,0.064,1.2419,9.2444,0.0154,0.0325,9.8065,-0.0342,-0.2439,0.1678,-18.56,-36.5,4.19,292.63,-89.15,-167.8
58062.5,58062.50017,9,58062.5,52.2018379,-2.2017607,15.138,91.409,78.4,-0.18,0.1,22.89996,15.18999,15.07999,15.27,14.98,-1.799988,15.21,-0.02958012,0.02957988,0,2,3,1203,88,0,0.2999878,1,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938410,2020-01-08 16:07:42:004,0.0569,-2.9698,9.9913,0.024,0.0394,9.8065,0.0101,-0.4286,0.2517,-19.56,-36.56,4.31,288.91,-89.03,-170.74
58062.6,58062.60017,9,58062.6,52.2018378,-2.2017545,15.214,91.096,78.38,-0.18,0.1,22.70001,15.34,15.18999,15.38,15.27,-1.799988,15.23,-0.02958012,0.0397799,0,2,3,1203,88,0,0.2999878,1,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938510,2020-01-08 16:07:42:104,0.6111,0.3082,10.5127,0.0132,0.0164,9.8066,0.0033,-0.0586,0.0544,-18.37,-36.87,3.94,291.67,-88.93,-168.87
58062.7,58062.70017,9,58062.7,52.2018377,-2.2017482,15.347,91.162,78.36,-0.18,0.1,22.39996,15.39999,15.25999,15.46,15.31,-1.299988,15.32,-0.02958012,0.009180069,0,2,3,1200,88,0,0.05999756,1,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938610,2020-01-08 16:07:42:204,-1.072,-1.0043,9.2935,0.0376,0.0226,9.8065,-0.0582,-0.2647,0.0106,-18.25,-35.81,4.5,290.53,-88.85,-172.91
58062.8,58062.80017,9,58062.8,52.2018375,-2.2017419,15.408,91.596,78.33,-0.19,0.1,21.79999,15.56,15.37,15.55,15.32,-1.699982,15.42,-0.02958012,0.009180069,0,2,3,1201,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938710,2020-01-08 16:07:42:304,0.467,-0.712,10.57,0.0001,-0.0296,9.8066,-0.06,0.1594,-0.1697,-19.69,-35.37,4.75,288.35,-89,-174.07
58062.9,58062.89917,9,58062.9,52.2018375,-2.2017356,15.505,90.944,78.3,-0.2,0.1,21.39996,15.61,15.48,15.61,15.43999,-1.600006,15.51,-0.02958012,0.01937985,0,2,3,1214,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938809,2020-01-08 16:07:42:403,-0.1956,-2.5226,9.3292,0.022,0.0349,9.8066,-0.0713,-0.0974,0.1597,-19.06,-35.5,4.38,293.08,-89.05,-167.23
58063,58063.00017,9,58063,52.2018373,-2.2017292,15.646,91.639,78.28,-0.2,0.1,20.70001,15.75999,15.6,15.73,15.63,-1.299988,15.62,-0.02958012,0.009180069,0,2,3,1212,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13938910,2020-01-08 16:07:42:504,0.6237,-0.1828,10.1438,-0.0049,-0.0359,9.8066,-0.0059,0.1835,-0.1147,-18.81,-36.12,4.88,310.22,-89.08,-153.24
58063.1,58063.10117,9,58063.1,52.2018371,-2.2017227,15.862,91.711,78.25,-0.21,0.1,17.89996,15.88,15.73,15.91,15.78,-1.100006,15.75,-0.02958012,0,0,2,3,1216,88,0,0.05999756,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939011,2020-01-08 16:07:42:605,0.9631,1.3285,8.9846,0.0114,0.0016,9.8066,-0.0644,-0.0626,0.0565,-18.69,-35.12,4.19,316.51,-89,-144.14
58063.2,58063.19917,9,58063.2,52.201837,-2.2017163,15.815,91.581,78.22,-0.22,0.1,13.79999,15.95,15.89,15.98,15.77,-1,15.88,-0.02958012,0.009180069,0,2,3,1219,88,0,0.05999756,0,13.8,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939109,2020-01-08 16:07:42:703,0.9034,1.1191,9.9183,-0.0025,-0.0381,9.8066,-0.0248,0.1455,-0.0357,-19.37,-35,4.56,337.1,-88.77,-126.79
58063.3,58063.30017,9,58063.3,52.2018367,-2.2017097,16.006,92.555,78.19,-0.23,0.1,10.70001,16.05,15.93,16.09,15.95,-0.1999817,15.89,-0.01938009,0.0397799,0,2,3,1223,88,0,-0.1700134,0,13.7,14.25,0,52.201836,-2.201769,131.48,3.89,2,90.45,23 / 23,13939210,2020-01-08 16:07:42:804,-0.6591,0.3872,9.6111,0.0118,-0.0003,9.8066,-0.0565,-0.0149,-0.0088,-20.19,-35.25,4.5,339.88,-88.72,-123.41
